20, 0.00481481, 0.966791, 0.39, 2.03606, 1.00268
20.025, 0.013091, 0.980342, 0.29, 2.20591, 2.06129
20.05, 0.0175826, 1.02125, 0.1, 2.48086, 2.00137
20.075, 0.0339386, 1.11418, 1.26, 2.44673, 2.32094
20.1, 0.0613722, 1.14588, 1.03, 2.76037, 2.18113
20.125, 0.0754124, 1.23485, 0.23, 3.08042, 2.80031
20.15, 0.0798466, 1.27908, 0.28, 3.35815, 3.39952
20.175, 0.0888628, 1.41893, 0.61, 3.34129, 3.3396
20.2, 0.102965, 1.44782, 0.71, 3.5066, 3.39952
20.225, 0.135608, 1.57054, 2.14, 3.51021, 2.88021
20.25, 0.185963, 1.60979, 2.21, 3.68481, 3.29966
20.275, 0.246927, 1.7348, 3.1, 3.61508, 3.57929
20.3, 0.318608, 1.7876, 3.2, 3.65194, 3.37955
20.325, 0.410371, 1.91454, 4.87, 3.48824, 3.47942
20.35, 0.522954, 1.95531, 5.07, 3.44285, 3.61924
20.375, 0.646461, 2.07752, 5.98, 3.35899, 3.27968
20.4, 0.780252, 2.11459, 6.15, 3.5515, 3.15984
20.425, 0.919012, 2.23718, 6.65, 3.39845, 3.83895
20.45, 1.06151, 2.27732, 6.73, 3.40209, 3.3396
20.475, 1.21332, 2.40439, 7.69, 3.42619, 2.94013
20.5, 1.37398, 2.43596, 7.75, 3.35953, 3.23974
20.525, 1.544, 2.56188, 8.77, 3.24634, 3.19979
20.55, 1.7239, 2.59562, 8.89, 3.27142, 3.17981
20.575, 1.91764, 2.71259, 10.25, 2.91555, 3.09992
20.6, 2.1256, 2.74557, 10.43, 2.89084, 2.56063
20.625, 2.34286, 2.8633, 11.42, 2.55613, 2.78034
20.65, 2.56823, 2.88427, 11.52, 2.56033, 2.32094
20.675, 2.79864, 2.9804, 12.28, 2.42431, 2.76037
20.7, 3.03201, 3.00481, 12.22, 2.2832, 2.10123
20.725, 3.26628, 3.08637, 12.82, 2.07616, 2.08126
20.75, 3.50477, 3.10657, 13.03, 2.09308, 1.94144
20.775, 3.74823, 3.18365, 13.7, 1.82061, 1.94144
20.8, 3.99481, 3.2041, 13.77, 1.70312, 1.64184
20.825, 4.25902, 3.25971, 15.62, 1.17098, 1.36221
20.85, 4.54237, 3.27173, 15.85, 1.12587, 0.902812
20.875, 4.83096, 3.3088, 16.61, 0.731908, 1.04263
20.9, 5.12476, 3.31442, 16.85, 0.622546, 0.523311
20.925, 5.41304, 3.32976, 16.75, 0.503357, 0.343548
20.95, 5.69062, 3.33475, 16.56, 0.384041, 0.84289
20.975, 5.94468, 3.34919, 15.4, 0.566191, 0.203732
21, 6.17802, 3.352, 15.39, 0.439427, 0.46339
21.025, 6.40547, 3.3653, 15.39, 0.308623, 0.443416
21.05, 6.62657, 3.36952, 15.33, 0.232621, 0.243679
21.075, 6.86703, 3.37156, 17.4, -0.26217, 0.0838896
21.1, 7.12895, 3.37156, 17.55, -0.57034, 0.0639159
21.125, 7.39342, 3.37143, 18.13, -0.769297, 0.0439422
21.15, 7.65988, 3.37131, 18.24, -1.02226, 0.0439422
21.175, 7.91655, 3.37028, 17.87, -1.09121, 0.00399474
21.2, 8.15923, 3.3644, 17.62, -1.26421, -0.655138
21.225, 8.38345, 3.32171, 16.86, -1.19549, -1.17445
21.25, 8.5925, 3.30867, 16.84, -1.35425, -0.894822
21.275, 8.78219, 3.26188, 15.71, -1.18442, -1.27432
21.3, 8.95473, 3.24667, 15.83, -1.38974, -0.954743
21.325, 9.12955, 3.19515, 16.24, -1.60152, -1.49403
21.35, 9.30623, 3.17151, 16.33, -1.77363, -1.47406
21.375, 9.48595, 3.10196, 16.84, -2.08524, -1.73372
21.4, 9.66679, 3.07691, 16.78, -2.07018, -2.33293
21.425, 9.84341, 2.99497, 16.86, -2.20131, -2.0533
21.45, 10.0147, 2.96838, 16.7, -2.34514, -2.3529
21.475, 10.1637, 2.87251, 15.4, -2.15301, -2.49272
21.5, 10.2948, 2.84349, 15.55, -2.29083, -1.89351
21.525, 10.4073, 2.75516, 14.15, -2.18025, -2.4328
21.55, 10.5002, 2.73164, 14.19, -2.29838, -2.21309
21.575, 10.5899, 2.64394, 14.07, -2.40628, -2.51269
21.6, 10.6731, 2.61582, 13.85, -2.38461, -2.13319
21.625, 10.7497, 2.52007, 13.7, -2.32379, -2.13319
21.65, 10.8213, 2.49246, 13.6, -2.52297, -2.71243
21.675, 10.8775, 2.39838, 12.6, -2.42832, -2.33293
21.7, 10.9196, 2.36923, 12.56, -2.35219, -2.25303
21.725, 10.9479, 2.28307, 11.57, -2.1426, -2.39285
21.75, 10.9631, 2.25687, 11.56, -2.1447, -1.83359
21.775, 10.9704, 2.18209, 10.96, -2.19045, -1.81361
21.8, 10.9698, 2.14898, 10.93, -2.12236, -2.47274
21.825, 10.9604, 2.0595, 10.25, -1.99074, -2.25303
21.85, 10.94, 2.03879, 10.02, -1.98727, -1.27432
21.875, 10.9035, 1.96388, 8.9, -1.63545, -1.77367
21.9, 10.853, 1.94509, 8.82, -1.67454, -1.27432
21.925, 10.7944, 1.88501, 8.14, -1.61088, -1.85356
21.95, 10.7274, 1.86238, 8.02, -1.46915, -1.69377
21.975, 10.6561, 1.80128, 7.66, -1.26423, -1.71374
22, 10.5803, 1.78977, 7.51, -1.19893, -0.755006
22.025, 10.4956, 1.74094, 6.79, -1.11729, -1.25435
22.05, 10.4036, 1.7279, 6.75, -0.919462, -0.934769
22.075, 10.3076, 1.69313, 6.28, -0.854979, -1.39416
